material_id,pretty_formula,elements,count,density,elasticity.poisson_ratio,elasticity.K_VRH,melting_point,thermal_conductivity,radius,electronegativity,specific_heat,spacegroup.crystal_system,C11,C22,C33,C12,C13,C23,C44,C55,C66
mp-2426,LiAg,"['Li', 'Ag']","[1, 1]",5.861772738,0.39,61,844.31,257.5,1.66,0.12615475,1.863,cubic,66,66,66,58,58,58,34,34,34
mp-2432,CaMg2,"['Ca', 'Mg']","[1, 2]",1.731927308,0.24,30,987,173.3333333,1.613333333,0.119566633,0.901,hexagonal,58,58,64,19,13,13,16,16,19
mp-2444,GaRh,"['Ga', 'Rh']","[1, 1]",10.17538363,0.34,180,1269.955,89.5,1.545,0.1566076,0.308,cubic,273,273,273,134,134,134,60,60,60
mp-2450,CaSn,"['Ca', 'Sn']","[1, 1]",4.293452868,0.26,38,810.04,133.5,1.695,0.14673195,0.4375,orthorhombic,70,75,72,18,24,20,18,33,12
mp-2451,YAl3,"['Y', 'Al']","[1, 3]",3.599968014,0.22,72,1149.8525,180.5,1.415,0.14298315,0.746,trigonal,117,117,155,37,49,49,68,68,40
mp-2474,YAg,"['Y', 'Ag']","[1, 1]",6.700101544,0.31,62,1516.965,223.5,1.885,0.13445755,0.2605,cubic,87,87,87,50,50,50,34,34,34
mp-2481,Mg2Cu,"['Mg', 'Cu']","[2, 1]",3.429623958,0.3,58,1067.923333,240,1.45,0.131486533,0.811666667,orthorhombic,92,121,111,13,53,39,19,35,19
mp-2500,AlCu,"['Al', 'Cu']","[1, 1]",5.356855143,0.25,113,1145.62,317.5,1.315,0.1506248,0.6425,monoclinic,217,224,186,64,68,64,65,55,75
mp-253,ScCo2,"['Sc', 'Co']","[1, 2]",6.582231542,0.35,142,1783.333333,72,1.626666667,0.1352853,0.489333333,cubic,189,189,189,119,119,119,59,59,59
mp-2554,Al3V,"['Al', 'V']","[3, 1]",3.714657278,0.17,120,1245.8525,184,1.3125,0.1443921,0.79625,tetragonal,226,226,262,91,46,46,101,101,133
mp-259,AlMo3,"['Al', 'Mo']","[1, 3]",8.470007673,0.27,225,2405.3675,163,1.72,0.1359699,0.41325,cubic,435,435,435,120,120,120,102,102,102
mp-2593,AlNi3,"['Al', 'Ni']","[1, 3]",7.466731653,0.29,177,1529.3675,127,1.4125,0.1479246,0.55725,cubic,238,238,238,147,147,147,129,129,129
mp-2606,BaPd5,"['Ba', 'Pd']","[1, 5]",9.234611454,0.32,99,1690.041667,63,1.83,0.146469433,0.235333333,hexagonal,134,134,184,70,78,78,48,48,32
mp-2614,HfAl3,"['Hf', 'Al']","[1, 3]",6.195578186,0.19,107,1326.6025,182,1.405,0.17005525,0.7115,tetragonal,189,189,207,91,49,49,89,89,126
mp-2642,CdAg,"['Cd', 'Ag']","[1, 1]",9.349311369,0.45,80,914.575,263.5,1.63,0.14881155,0.2345,cubic,78,78,78,81,81,81,39,39,39
mp-2643,Ti3Cu4,"['Ti', 'Cu']","[3, 4]",6.748300444,0.3,132,1607.725714,238,1.582857143,0.139253929,0.444142857,tetragonal,170,170,207,120,102,102,81,81,108
mp-2647,Al2Au,"['Al', 'Au']","[2, 1]",7.476904945,0.36,105,1068.09,263.3333333,1.366666667,0.187175333,0.643,cubic,132,132,132,91,91,91,46,46,46
mp-2658,AlFe,"['Al', 'Fe']","[1, 1]",5.791723495,0.27,175,1372.235,157.5,1.37,0.1446656,0.6715,cubic,248,248,248,138,138,138,138,138,138
mp-2667,CsAu,"['Cs', 'Au']","[1, 1]",6.514133851,0.25,10,819.46,178,2.36,0.20779125,0.185,cubic,19,19,19,6,6,6,6,6,6
mp-2685,HgPd,"['Hg', 'Pd']","[1, 1]",14.01389079,0.36,115,1031.185,40.15,1.7,0.1565138,0.191,tetragonal,160,160,141,83,102,102,48,48,29
mp-2696,MgAg,"['Mg', 'Ag']","[1, 1]",5.915481978,0.3,65,1078.965,295,1.55,0.13443025,0.631,cubic,85,85,85,55,55,55,48,48,48
mp-2698,YCu2,"['Y', 'Cu']","[1, 2]",6.706395025,0.38,80,1504.846667,272.3333333,1.673333333,0.141347267,0.351333333,orthorhombic,106,121,128,50,54,85,28,15,16
mp-2726,SrCu5,"['Sr', 'Cu']","[1, 5]",6.972726344,0.34,83,1306.475,339.1666667,1.573333333,0.1457277,0.371,hexagonal,110,110,143,63,66,66,36,36,23
